Project,Stars,Forks,LastCommitDate,NumCommits,NumAuthors,MaxTime,MinTime,LongestGapLength,LongestGapStart,LongestGapEnd,NumberOfGapsInTimeline,NumCommitsAfterLastGap,ActivityPatterns,BeforeThemes,AfterThemes,HypothesizedGapReason,HasRecovered,WhyRecovered,WhoRecovered,CurrentStatus,RecentThemes,Notes
daducci_amico,130,67,12/17/2025,618,46,1768769157,1412688947,5,2024-08,2024-12,7,2,irregular,"['release', 'dependency']","['release', 'bug']","A pull request was merged right before the gap: ""Merge pull request #197 from daducci/release/v2.1.0"". It's possible that slow work was still being performed during the gap.",True,"Several pull requests were merged, suggesting slow work was being performed and submitted all at once.","A common developer Paul McCarthy <pauldmccarthy@gmail.com> started the recovery, but the uncommon Alessandro Daducci <alessandro.daducci@univr.it> continued it.",False,"['bug', 'build']",This project never went inactive. Developers took turns merging pull requests. Inactivity was likely just time between version releases.
yangjasp_optimall,7,2,4/3/2026,564,3,1775254108,1600887255,9,2022-02,2022-10,7,2,declining + irregular,"['release', 'documentation']","['feature', 'release']","A major version was released right before the gap: ""Version 0.1.2 update"". Another version update for 0.1.3 was released at the end of the gap. All of the AfterCommits and BeforeCommits were made by yangjasp, so maybe the gap was actually how long it took to make the new version.",True,"Only one batch of requests followed this gap, and a gap followed shortly afterwards. However, maintenance requests have been consistent since.",The same developer recovered the project.,False,"['feature', 'maintenance']","The gap was sandwiched by two version releases. The same developer made both versions, suggesting the gap was just time spent working."
anybotics_kindr,617,207,2/14/2025,864,65,1741698942,1381244746,6,2015-04,2015-09,5,2,steady,"['bug', 'documentation']","['dependency', 'release']","Only 4 developers lead the BeforeCommits, while 5 newer developers picked up the project with pull requests for the AfterCommits. There were also spikes surrounding the gap, so it's possible the original developers abandonded the project and the newer developers started grinding out features.",True,Newer developers picked up the project with merged pull requests.,Those who recovered the project were not the same as the original developers. Only one of the 10 AfterCommits were from an old developer.,False,"['release', 'feature']","The project started with a bang, only to fizzle out (likely after finishing the bulk of the project). None of the original developers recovered the project, suggesting the original developers abandonded the project."
scikit-fuzzy_scikit-fuzzy,877,292,8/25/2024,673,68,1731068774,1363667243,12,2021-05,2022-04,7,1,irregular,"['dependency', 'documentation']","['dependency', 'documentation']","Four of the five commits before the gap included the term ""GitWash"", suggesting a large amount of work was poured into the feature. Most of the commits were made by two people with the same last name, suggesting it may be a project worked on by two siblings. After the large amount of work, they may have decided to take a break from the project.",True,"The same two maybe-siblings recovered the project, possibly because they had newfound time or had taken a long enough break.",Those who recovered the project were the same as those who had been working on it shortly before the gap.,False,"['bug', 'release']",This project never went inactive. Consistent releases were made by two developers with the same last name (possibly related). Peaked in commits around the height of COVID-19.
mhhennig_hs2,31,19,1/24/2025,614,30,1737717436,1501257793,8,2020-10,2021-05,6,7,irregular,"['feature', 'bug']","['dependency', 'release']",The COVID-19 pandemic started around the time of this gap (2020-10).,True,"Many small improvements were added, with half of them being build-related commits.","Matthias H Hennig was found many times in both the BeforeCommits and AfterCommits, meaning it's likely the same team of developers.",False,"['feature', 'bug']","A large gap spans across 2020 and 2023, around the start of the COVID-19 pandemic. Matthias H Hennig continued with maintenance even during the lull. The gap ended with a mysterious spike, possibly due to popularity."
bids-apps_rshrf,42,15,7/23/2026,553,31,1775331973,1468998858,28,2023-02,2025-05,7,3,declining + irregular,"['deployment', 'documentation']","['bug', 'maintenance']","DemirEgeOrtac made two large commits immediately before the gap. Half of the AfterCommits were labeled ""minor changes"", suggesting the large commits may have justified a lull in commits.",False,No significant batches of commits were made since the gap.,N/A,True,"['bug', 'dependency']","The project started with a bang, only to fizzle out (likely after finishing the bulk of the project). A couple large commits were made before the gap, and most commits afterwards were labelled as ""minor changes""."
juliastats_lasso.jl,147,34,7/28/2026,368,28,1762100330,1396912911,12,2023-10,2024-09,12,2,u-shaped + irregular,"['feature', 'release']","['dependency', 'release']","A couple of testing commits were made just before a couple of release commits; after these four commits, the gap started. The gap, then, was probably just another natural gap between versions. The second AfterCommit was a release commit as well, suggesting the gap was actually a period of work.",True,"Mohamed Tarek recovered the project on their own, with commit-adding bots like ""CompatHelper"" fluffing the commit count.",Mohamed Tarek was not seen in the BeforeCommit window at all.,True,"['dependency', 'build']",This project saw a U-shaped array of spikes in commit frequency. A larger team may be keeping the project from dying out. The longest gap was likely due to a new version release.
dcc-lab_pyhardwarelibrary,12,3,8/12/2026,724,16,1758678540,1531878900,16,2023-10,2025-01,7,4,declining + irregular,"['feature', 'documentation']","['bug', 'maintenance']","Out of the total 20 BeforeCommits and AfterCommits, Daniel Côté made 19 of them. The disproportionate authorship implies a heavy reliance on a single developer. It's possible the developer became burned out or chose a project for their small team of close to 1. Once the project was mostly finished, commit frequency plummetted.",False,"Only a handful of small, maintenance commits have been made since the gap.",N/A,True,"['bug', 'build']",A single developer has been carrying the project. It's possible the developer was burned out or simply reached their target with the project.
cmillion_gphoton,21,10,2/13/2025,949,12,1762296960,1394033282,46,2019-10,2023-07,5,1,steady,"['documentation', 'feature']","['build', 'documentation']","A release commit (v1.28.9) was made shortly before the gap. Only three commits were made after the large gap--all of them for documentation--, indicating the project may be archived or abandonded.",False,Only three commits were made since the end of the gap.,N/A,False,"['documentation', 'feature']","A new version release likely caused the gap. Almost no attempt was made at a recovery, suggesting the project died pretty hard. Any trace commits were likely for dependency or build updates."
aim-uofa_adelaidet,3500,653,8/22/2024,573,55,1725492812,1579751240,9,2023-01,2023-09,1,2,irregular,"['bug', 'dependency']","['documentation', 'bug']","The commits just before the gap were only for updating pillow as a dependency, and the ones before that were small changes like replacing a for loop with str.join. This implies the project was essentially complete only needs rare maintenance commits.",True,Likely needed small documentation and dependency updates.,Entirely different developers between AfterCommits and BeforeCommits,False,"['feature', 'documentation']","This project started with a bang in the first quarter, only to fizzle out (likely after finishing the bulk of the project). Any tracy commits were likely for documentation, perhaps to archive the project."
